name,base_price,rating,type,role
Manish Pandey,1.5,78,Ind,BAT
Shreyas lyer,2.0,85,Ind,BAT
Prithwi Shaw,1.0,78,Ind,BAT
Ajinkya Rahana,1.0,84,Ind,BAT
Shubman Gill,1.5,90,Ind,BAT
Virat Kohli,2.0,95,Ind,BAT
Surya Kumar Yadav,2.0,92,Ind,BAT
Mayank Agarwal,1.0,77,Ind,BAT
Rohit Sharma,2.0,95,Ind,BAT
Shikhar Dhawan,2.0,89,Ind,BAT
Rahul Tripathy,1.0,78,Ind,BAT
Ruturaj Gaikwad,1.5,85,Ind,BAT
Nitish Rana,1.0,81,Ind,BAT
Devdutt Padikkal,0.75,79,Ind,BAT
Tilak Verma,1.0,85,Ind,BAT
Rinku Singh,1.0,86,Ind,BAT
Yashasvi Jaiswal,1.0,87,Ind,BAT
Sai Sudarshan,0.5,82,Ind,BAT
Sarfaraz Khan,0.5,79,Ind,BAT
Rajat Patidar,1.0,85,Ind,BAT
KL Rahul,2.0,90,Ind,WK
Dinesh Karthik,2.0,86,Ind,WK
Sanju Samson,2.0,86,Ind,WK
Rishabh Pant,2.0,88,Ind,WK
Ishan Kishan,2.0,86,Ind,WK
K S Bharat,0.5,66,Ind,WK
Jitesh Sharma,0.5,75,Ind,WK
Mukesh Sharma,0.5,80,Ind,BOWL
Avesh Khan,1.0,77,Ind,BOWL
Amit Mishra,0.5,78,Ind,BOWL
Bhuvaneshwar Kumar,2.0,90,Ind,BOWL
Navdeep Saini,1.0,80,Ind,BOWL
Ishant Sharma,1.5,77,Ind,BOWL
Umesh Yadav,1.5,84,Ind,BOWL
Deepak Chahar,1.0,86,Ind,BOWL
Shardul Thakur,1.5,81,Ind,BOWL
Jasprit Bumrah,2.0,94,Ind,BOWL
Mohd. Shami,2.0,88,Ind,BOWL
Prasidh Krishna,0.5,79,Ind,BOWL
Varun Chakaravarthy,2.0,89,Ind,BOWL
Mohd. Siraj,1.5,78,Ind,BOWL
Jayadev Unadkant,1.0,83,Ind,BOWL
T Natarajan,1.0,74,Ind,BOWL
Khaleel Ahmed,0.5,81,Ind,BOWL
Yuzevendra chahal,2.0,89,Ind,BOWL
Piyush Chawla,1.0,79,Ind,BOWL
Rahul Chahar,0.75,79,Ind,BOWL
Harshit Rana,0.75,79,Ind,BOWL
Kuldeep Yadav,1.0,86,Ind,BOWL
Varun Chakaravarthy,1.0,85,Ind,BOWL
Arshdeep Singh,1.0,90,Ind,BOWL
Harshal Patel,2.0,85,Ind,BOWL
Umran Malik,1.0,73,Ind,BOWL
Ravi Bishnoi,1.0,84,Ind,BOWL
Vijay Shankar,1.0,79,Ind,AR
Hardik Pandya,2.0,91,Ind,AR
Krunal Pandya,1.5,81,Ind,AR
Shivam Dube,1.0,90,Ind,AR
Ravichandran Ashwin,2.0,84,Ind,AR
Washington Sundar,1.0,80,Ind,AR
Axar Patel,1.0,84,Ind,AR
Ravindra Jadeja,2.0,88,Ind,AR
Venkatesh lyer,1.0,83,Ind,AR
Karn Sharma,0.5,76,Ind,AR
Shivam Mavi,0.5,78,Ind,AR
Riyan Parag,1.0,82,Ind,AR
Nitish Kumar Reddy,1.0,86,Ind,AR
Kane Williamson,2.0,85,OS,BAT
Steve Smith,2.0,75,OS,BAT
Harry Brook,1.0,80,OS,BAT
Rowman Powell,1.0,82,OS,BAT
Travis Head,2.0,92,OS,BAT
Aiden Markram,1.0,82,OS,BAT
Tim David,1.0,85,OS,BAT
Faf Du Plessis,2.0,89,OS,BAT
Liam Livingstone,1.0,82,OS,BAT
Sherfane Rutherford,1.5,85,OS,BAT
Jacob Bethell,1.0,83,OS,BAT
Kyle Mayers,1.0,75,OS,BAT
Mitchell Marsh,2.0,81,OS,BAT
David Warner,2.0,85,OS,BAT
Shimron Hetmyer,1.5,89,OS,BAT
David Miller,1.0,80,OS,BAT
Dewald Brewis,0.75,70,OS,BAT
Jason Roy,0.75,73,OS,BAT
Glenn Phillips,1.0,75,OS,BAT
Jonny Baristow,2.0,83,OS,WK
Shai Hope,0.75,78,OS,WK
Tim Seifert,0.5,69,OS,WK
Tristan Stubbs,0.5,85,OS,WK
Jos Buttler,2.0,94,OS,WK
Heinrich Klassen,1.0,90,OS,WK
Sam Billings,1.0,84,OS,WK
Matthew Wade,0.75,82,OS,WK
Rahmanullah Gurbaz,0.5,85,OS,WK
Quinton De Kock.,1.5,82,OS,WK
Josh Inglis,1.0,88,OS,WK
Nicholas Pooran,1.0,80,OS,WK
Finn Allen,1.0,79,OS,WK
Alex Carey,0.75,73,OS,WK
Devon Conway,1.0,79,OS,WK
Kushal Mendis,0.75,78,OS,WK
Kagiso Rabada,2.0,89,OS,BOWL
Anrich Nortje,1.0,83,OS,BOWL
Josh Hazlewood,2.0,86,OS,BOWL
Pat Cummins,2.0,86,OS,BOWL
Adam Milne,0.5,76,OS,BOWL
Lungi Ngidi,1.0,83,OS,BOWL
Naveen Ul Haq,1.0,79,OS,BOWL
Mark Wood,0.75,78,OS,BOWL
Jhye Richardson,1.5,81,OS,BOWL
Chris Jordan,1.5,76,OS,BOWL
Tom Curran,1.0,74,OS,BOWL
Mitchell Starc,2.0,90,OS,BOWL
Kane Richardson,0.5,73,OS,BOWL
Trent Boult,2.0,86,OS,BOWL
Romario Sheperd,0.5,79,OS,BOWL
Gerald Coetzee,1.0,83,OS,BOWL
Mahesh Theekshana,1.0,80,OS,BOWL
Allah Ghazanfar,1.0,83,OS,BOWL
S.van Schalkwyk,0.75,80,OS,BOWL
Jacob Duffy,0.75,79,OS,BOWL
Matheesha Pathiraana,0.5,82,OS,BOWL
Mustafizur Rahman,1.5,80,OS,BOWL
Noor Ahmed,0.5,77,OS,BOWL
Joshua Little,0.5,75,OS,BOWL
Macro Jansen,0.5,84,OS,BOWL
Mujeeb Ur Rahman,1.5,75,OS,BOWL
Imran Tahir,1.5,90,OS,BOWL
Tabraiz Shamsi,1.5,79,OS,BOWL
Dwayne Bravo,1.0,81,OS,AR
Jason Holder,1.5,81,OS,AR
Andre Russell,2.0,96,OS,AR
Ben Stokes,2.0,87,OS,AR
Ben Cutting,0.75,72,OS,AR
Jofra Archer,2.0,82,OS,AR
Sam Curran,0.75,85,OS,AR
Chris Morris,0.5,80,OS,AR
Cooper Conolly,1.0,79,OS,AR
Mohd Nabi,1.5,84,OS,AR
Sunil Narine,1.0,80,OS,AR
Moeen Ali,1.0,82,OS,AR
Glenn Maxwell,2.0,89,OS,AR
Rashid Khan,2.0,92,OS,AR
Mitchell Marsh,1.0,81,OS,AR
Dan Christian,0.5,72,OS,AR
Wanindu Hasaranga,0.5,77,OS,AR
Shakib Al Hasan,1.0,76,OS,AR
Mitchell Santner,1.0,80,OS,AR
Rachin Ravindra,1.0,87,OS,AR
Daryll Mitchell,1.0,78,OS,AR
Cameron Green,1.0,85,OS,AR
Will Jacks,0.5,78,OS,AR
Marcus Stoinis,1.5,83,OS,AR
Prabhsimran Singh,1.0,85,Uncap,BAT
Ravisrinivasan Sai,0.5,50,Uncap,BAT
Asutosh Sharma,0.5,81,Uncap,BAT
Vaibhav Suryavanshi,0.5,85,Uncap,BAT
Jagadeesan Narayan,0.75,61,Uncap,BAT
Aniket Verma,0.5,77,Uncap,BAT
Sudhanshu Senapati,0.5,72,Uncap,BAT
Ayush Mhatre,0.5,80,Uncap,BAT
Abhinav Manohar,0.75,77,Uncap,BAT
MS Dhoni,2.0,95,Uncap,WK
Nehal Wadhera,0.5,72,Uncap,BAT
Urvil Patel,0.75,77,Uncap,WK
Chetan Sakariya,0.75,72,Uncap,BOWL
Yash Dayal,1.0,80,Uncap,BOWL
Raghu Sharma,0.5,75,Uncap,BOWL
Mayank Markande,1.0,81,Uncap,BOWL
Sai Kishore,0.75,78,Uncap,BOWL
Akash Madhwal,0.75,85,Uncap,BOWL
Ashwini Kumar,0.5,79,Uncap,BOWL
Vignesh Puthur,0.5,77,Uncap,BOWL
Kartik Tyagi,0.5,69,Uncap,BOWL
Tushar Deshpande,1.0,83,Uncap,BOWL
Vaibhav Arora,1.0,86,Uncap,BOWL
Suyash Sharma,0.75,75,Uncap,BOWL
Ishwar Pandey,0.5,63,Uncap,BOWL
Mohit Jangra,0.5,55,Uncap,BOWL
Pankaj Singh,0.5,59,Uncap,BOWL
Abdul Samad,1.0,79,Uncap,AR
Anukul Roy,0.5,75,Uncap,AR
Harpreet Brar,0.75,82,Uncap,AR
Nishant Sindhu,0.5,65,Uncap,AR
Karan Sharma,0.75,71,Uncap,AR
Lalit Yadav,0.5,80,Uncap,AR
Atharva Taide,0.5,70,Uncap,AR
Shams Mulani,0.5,64,Uncap,AR
Deepak Hooda,1.0,75,Uncap,AR